GEOID,NAME,male,medage,pop,black,asian,pacific,latino,commute_hr1,commute_hr2,medrent,medincome
23079,ZCTA5 23079,134,40.7,297,16,0,0,0,8,0,NA,52083
23084,ZCTA5 23084,710,46.9,1472,310,9,0,48,30,100,1179,82500
23092,ZCTA5 23092,319,48.8,690,252,0,0,0,9,45,857,46964
23108,ZCTA5 23108,97,28.5,222,22,0,0,0,11,49,NA,106053
23115,ZCTA5 23115,77,34.8,135,130,0,0,0,46,0,NA,45888
23024,ZCTA5 23024,4142,46.1,8381,880,89,0,164,461,203,1007,64627
23038,ZCTA5 23038,798,44.4,1762,547,21,0,22,146,34,1227,70268
23146,ZCTA5 23146,1639,43.7,3079,265,24,0,14,36,38,1170,108281
23022,ZCTA5 23022,586,38.5,1180,274,0,0,230,114,0,820,60588
23091,ZCTA5 23091,31,63.3,109,41,0,0,0,0,0,NA,NA
23103,ZCTA5 23103,2468,56.3,5197,466,254,0,214,51,35,1052,109071
23109,ZCTA5 23109,1034,56.4,2178,295,25,0,0,176,0,847,64283
23110,ZCTA5 23110,252,41.3,590,41,0,0,4,35,0,NA,56250
23113,ZCTA5 23113,12111,45.5,25076,1869,1329,11,1033,203,279,1337,109940
23129,ZCTA5 23129,288,39.1,632,27,0,0,22,11,0,NA,167633
23188,ZCTA5 23188,21413,45.5,43687,6313,999,17,2434,1055,271,1281,79505
23192,ZCTA5 23192,3298,46.9,6830,884,92,0,109,113,98,977,92055
23233,ZCTA5 23233,15264,38.6,31089,2070,4813,12,1005,489,424,1322,102779
23234,ZCTA5 23234,21260,35.1,45201,22461,1134,7,9826,751,510,1020,47770
23237,ZCTA5 23237,11417,36,23252,5650,409,15,3867,299,236,1109,57262
23303,ZCTA5 23303,381,57.2,890,198,0,0,0,0,0,NA,65637
23011,ZCTA5 23011,834,43.7,1334,369,0,0,54,2,21,NA,80169
23032,ZCTA5 23032,143,46.1,304,25,0,0,0,41,4,NA,NA
23116,ZCTA5 23116,15341,42,30689,1953,447,34,672,317,298,1330,105295
23123,ZCTA5 23123,810,53.5,1874,865,0,0,0,186,12,556,42544
23141,ZCTA5 23141,3189,42.6,6651,742,102,0,102,69,142,1064,77602
23169,ZCTA5 23169,519,48.8,1086,22,0,0,0,9,23,740,35739
23176,ZCTA5 23176,121,60.4,331,8,0,0,0,12,0,NA,46979
23177,ZCTA5 23177,221,57.5,475,293,0,0,0,21,0,NA,68452
23185,ZCTA5 23185,22766,42.6,48036,6528,1936,18,3184,1315,364,1204,81743
23224,ZCTA5 23224,19689,33.2,40445,26500,266,24,6226,487,504,925,36097
23227,ZCTA5 23227,11396,43.6,25491,12837,483,20,486,231,214,895,50991
23231,ZCTA5 23231,17599,39.2,36657,21845,107,0,905,314,366,1002,57066
23235,ZCTA5 23235,14718,42.2,32355,6222,999,12,2541,430,225,1299,77249
23304,ZCTA5 23304,20,NA,40,0,0,0,0,0,0,NA,NA
