GEOID,NAME,male,medage,pop,black,asian,pacific,latino,commute_hr1,commute_hr2,medrent,medincome
43964,ZCTA5 43964,4312,46.2,8642,256,21,0,27,212,95,585,42826
28216,ZCTA5 28216,23286,35.2,51116,32929,1054,0,4077,661,538,1079,48647
28277,ZCTA5 28277,33421,38.8,71605,6346,10533,0,5172,1861,594,1411,105885
28278,ZCTA5 28278,12870,35.6,27286,8672,1709,53,2870,419,239,1327,90282
28303,ZCTA5 28303,13958,35.1,29414,11486,1185,132,3084,147,142,854,39896
28314,ZCTA5 28314,28123,29.7,58110,27381,1844,170,8574,634,365,958,47873
28330,ZCTA5 28330,195,44.3,444,104,0,0,0,0,0,NA,28472
28347,ZCTA5 28347,1480,30.3,2329,902,0,0,826,63,6,751,28125
28351,ZCTA5 28351,2175,42.5,4698,1271,10,0,16,99,16,661,36949
28357,ZCTA5 28357,1408,43.4,2682,566,1,13,341,35,8,618,32060
28369,ZCTA5 28369,1405,43.1,2865,964,40,0,161,18,19,620,29848
28371,ZCTA5 28371,3710,35.9,7249,1980,35,0,404,125,18,810,50523
28392,ZCTA5 28392,820,45.6,1628,655,0,0,7,5,0,692,31667
28428,ZCTA5 28428,3127,47.3,6533,7,24,0,123,106,87,1160,71250
28433,ZCTA5 28433,2545,41.7,5375,3341,0,0,166,85,21,626,27900
28435,ZCTA5 28435,1129,49.2,2058,330,99,0,75,42,6,683,36298
28450,ZCTA5 28450,1131,45.1,2596,225,13,0,84,61,24,839,51680
28461,ZCTA5 28461,9250,57.3,19897,452,37,0,1204,245,170,904,64418
28462,ZCTA5 28462,6273,53.4,12659,1165,65,0,97,206,109,785,41243
28537,ZCTA5 28537,71,37.1,146,3,0,0,3,0,0,NA,24125
28547,ZCTA5 28547,21000,21.2,25420,2947,574,122,4580,27,12,1315,47662
28552,ZCTA5 28552,69,36.5,146,0,0,0,0,5,0,NA,NA
28557,ZCTA5 28557,7567,48.8,15204,1167,260,5,869,94,77,890,54528
28560,ZCTA5 28560,13364,40.7,27590,4900,1026,24,1379,584,229,789,46133
28562,ZCTA5 28562,18732,41.8,38598,8706,1342,0,1993,541,308,892,57592
28570,ZCTA5 28570,10573,43.6,21590,1145,417,0,1111,316,174,856,51569
28574,ZCTA5 28574,9228,30.3,18116,1890,156,50,1789,591,231,1071,49267
28579,ZCTA5 28579,294,56,554,10,0,0,0,0,0,774,46964
28373,ZCTA5 28373,1249,35.3,2602,708,0,0,68,20,22,886,43836
28364,ZCTA5 28364,7377,35.6,15183,3086,110,10,45,381,236,581,33462
28366,ZCTA5 28366,2837,41,5564,1086,143,0,1380,200,171,601,33295
28377,ZCTA5 28377,6093,33.8,12933,3350,41,0,2237,174,159,585,28176
28383,ZCTA5 28383,4091,38.9,8854,2205,6,0,90,233,137,553,33952
28386,ZCTA5 28386,2708,31.1,5997,712,5,0,1561,48,34,628,31092
28398,ZCTA5 28398,3882,41.3,7765,3522,4,32,1457,87,23,651,32813
28425,ZCTA5 28425,5816,43.4,11634,3716,31,0,1022,143,112,774,40211
28429,ZCTA5 28429,3857,44.6,7525,1769,0,0,187,0,55,822,49346
28464,ZCTA5 28464,1184,51.3,2707,1426,0,0,440,13,66,806,20625
28073,ZCTA5 28073,2845,43.2,5366,1222,202,0,5,64,47,645,39971
28098,ZCTA5 28098,1798,41,3629,576,36,0,371,44,43,724,51206
28119,ZCTA5 28119,1333,42.1,2453,1395,0,0,283,52,19,700,31464
28144,ZCTA5 28144,12330,38,25158,11034,246,0,1663,610,188,762,43136
28150,ZCTA5 28150,12943,43.3,27581,7899,239,0,962,594,91,695,38328
28168,ZCTA5 28168,4522,45.8,10056,131,177,0,321,142,80,664,47888
28173,ZCTA5 28173,28318,38.6,56910,4121,3217,4,3129,2124,452,1133,116043
28205,ZCTA5 28205,24526,33.3,48539,13871,2658,253,9518,1309,423,923,49378
28214,ZCTA5 28214,19332,35.6,41356,17094,2401,22,5958,451,401,1090,60837
28307,ZCTA5 28307,10409,22.3,17830,3213,479,69,3768,64,5,1205,40559
28315,ZCTA5 28315,6448,35.5,13700,3647,351,0,846,113,64,791,51725
28318,ZCTA5 28318,2226,42.5,4371,252,0,0,297,40,59,541,47566
28320,ZCTA5 28320,4386,45.2,9919,2582,0,0,284,51,72,600,36199
28333,ZCTA5 28333,5179,33.1,11075,4461,32,0,3816,43,48,675,30172
28730,ZCTA5 28730,4599,43.6,9248,246,0,0,755,67,31,783,62995
28544,ZCTA5 28544,3470,23.5,6692,1360,117,0,680,35,0,1066,39696
28470,ZCTA5 28470,5893,47.6,12089,1850,69,0,890,210,128,791,39636
28524,ZCTA5 28524,101,46.2,304,0,0,0,0,0,0,NA,24867
28530,ZCTA5 28530,3180,38.8,6457,2547,0,0,359,144,48,724,36357
28556,ZCTA5 28556,580,52,1019,95,0,0,0,6,0,NA,41961
28573,ZCTA5 28573,1012,48.1,2053,879,0,0,89,14,0,663,44083
28621,ZCTA5 28621,5437,39.9,10499,463,61,0,1331,147,70,674,47034
28631,ZCTA5 28631,375,59.1,818,0,0,0,118,15,15,NA,37581
28644,ZCTA5 28644,496,42.9,1117,0,0,0,23,22,14,NA,33750
28675,ZCTA5 28675,3418,47.4,7033,260,20,1,798,104,66,590,34069
28684,ZCTA5 28684,1187,35.3,2370,7,0,0,23,13,37,1042,41163
28405,ZCTA5 28405,15538,40.7,32330,6234,519,9,1619,261,265,994,54544
28442,ZCTA5 28442,797,54.5,1584,546,0,0,141,19,7,632,37002
28444,ZCTA5 28444,1084,49.3,1962,850,0,0,12,5,1,932,52668
28466,ZCTA5 28466,4263,49.9,9294,1807,12,0,906,284,26,611,36938
28718,ZCTA5 28718,172,65,363,0,0,0,0,0,8,NA,43512
28722,ZCTA5 28722,2978,53.8,6477,267,9,0,801,62,120,817,48028
28077,ZCTA5 28077,202,43.2,464,9,0,0,10,26,0,646,24063
28097,ZCTA5 28097,2997,44.9,6074,86,0,0,379,226,41,787,57782
28103,ZCTA5 28103,5714,40.5,11397,2152,109,0,514,437,86,880,55116
28105,ZCTA5 28105,21876,40.5,45786,5081,2018,0,4828,885,314,1206,75329
28110,ZCTA5 28110,26125,35.4,53520,6875,454,22,9902,1949,723,935,57969
28124,ZCTA5 28124,3106,43.4,6192,70,71,0,49,195,56,887,59167
28127,ZCTA5 28127,4226,46.9,7860,931,106,0,156,279,105,672,54657
28137,ZCTA5 28137,1771,39.3,3248,149,211,0,108,117,12,720,52167
28139,ZCTA5 28139,9968,45,20900,1303,0,0,537,613,354,672,45053
28212,ZCTA5 28212,22233,30.5,45694,19266,4040,0,12610,1209,543,937,39439
28217,ZCTA5 28217,14903,30.8,29410,12582,2733,0,9535,472,322,1035,49230
28227,ZCTA5 28227,26697,38.3,55769,15926,1596,21,9213,1162,408,1028,57752
29440,ZCTA5 29440,12999,39.5,27897,12666,35,0,679,619,496,746,37146
29450,ZCTA5 29450,1575,42.4,3548,2298,0,0,0,34,0,699,55841
29452,ZCTA5 29452,248,45,484,325,0,0,0,46,0,NA,32721
29456,ZCTA5 29456,14622,34.3,30609,7047,489,41,2448,809,325,1154,60415
29477,ZCTA5 29477,3326,38.3,6966,3523,9,0,124,357,32,774,37041
29525,ZCTA5 29525,1059,39.2,2242,1313,11,0,5,53,6,533,35662
29340,ZCTA5 29340,10138,38.7,21046,4528,59,0,647,358,237,624,35054
29353,ZCTA5 29353,2175,48.9,4199,922,0,0,18,116,42,584,46377
29364,ZCTA5 29364,243,32.3,578,85,0,0,0,12,0,723,28571
29369,ZCTA5 29369,6266,40.6,13567,2654,248,4,228,257,45,900,75273
29370,ZCTA5 29370,568,36.4,1187,363,0,0,22,54,0,920,52917
29374,ZCTA5 29374,1886,40.8,3756,118,121,0,58,59,67,715,46721
29385,ZCTA5 29385,3487,33.8,7834,1612,191,0,1018,157,90,788,46875
29448,ZCTA5 29448,746,36.7,2309,864,5,0,1,164,12,917,20357
29466,ZCTA5 29466,18775,41.5,38267,2577,482,0,920,235,111,1688,103538
29472,ZCTA5 29472,5490,42.2,9242,3957,5,0,388,360,115,895,46339
29488,ZCTA5 29488,10895,39.1,22056,8781,0,200,814,664,177,720,36409
29501,ZCTA5 29501,21346,39.3,46516,15867,893,76,1100,810,342,787,49658
29510,ZCTA5 29510,5021,40,10493,4713,39,0,383,807,185,644,36268
29541,ZCTA5 29541,4723,40.2,9601,3134,11,25,99,129,65,844,49570
29943,ZCTA5 29943,349,45.4,524,363,0,0,0,44,0,NA,30082
29482,ZCTA5 29482,1083,48.1,2148,6,23,0,51,8,19,2293,135577
29485,ZCTA5 29485,28133,35.6,57000,11091,1419,153,3696,1554,668,1163,66958
29518,ZCTA5 29518,604,54.6,1042,353,0,0,6,15,21,641,34063
29547,ZCTA5 29547,1868,33.6,3524,1870,1,0,459,4,86,559,26627
29568,ZCTA5 29568,6820,45.8,15066,4827,42,0,339,67,94,1000,45759
29615,ZCTA5 29615,17858,38.9,37681,4037,1982,106,2887,437,257,951,60185
29640,ZCTA5 29640,14818,42,30295,2180,156,10,1459,497,175,741,45804
29643,ZCTA5 29643,1133,56.1,2088,37,20,0,0,95,46,625,62813
29649,ZCTA5 29649,11802,39.3,26598,7189,559,0,769,690,153,741,48726
29661,ZCTA5 29661,2712,46.2,5885,158,0,0,291,93,14,675,50328
29664,ZCTA5 29664,1022,54.1,2084,0,0,0,35,26,73,580,41589
29666,ZCTA5 29666,3038,47.3,6610,992,0,0,129,148,46,753,46553
29673,ZCTA5 29673,14724,38.7,29287,5692,254,12,1489,337,330,788,56091
29676,ZCTA5 29676,2498,62.2,5305,53,22,0,47,78,64,NA,67484
29682,ZCTA5 29682,1855,44.1,3669,12,7,0,137,76,23,613,56593
29687,ZCTA5 29687,20130,39.7,41209,4976,816,27,3568,212,215,834,53318
29693,ZCTA5 29693,7330,45.1,14413,653,95,0,253,182,83,651,41875
29710,ZCTA5 29710,17041,41.7,35157,3376,839,0,2325,1479,314,1001,68716
29714,ZCTA5 29714,1348,43.6,2902,513,12,0,0,102,18,761,43425
29717,ZCTA5 29717,715,40.2,1400,188,0,0,14,68,16,694,47852
29439,ZCTA5 29439,1271,49.7,2319,0,0,0,0,0,24,1010,77206
29373,ZCTA5 29373,298,44,487,10,0,0,0,13,0,1285,43750
29404,ZCTA5 29404,1072,21.3,1981,310,22,32,186,3,0,1500,49063
29435,ZCTA5 29435,1988,39.2,4379,1141,5,0,8,302,70,813,36357
29449,ZCTA5 29449,3838,52.9,8265,3980,23,0,94,383,118,683,51266
29458,ZCTA5 29458,1634,50.6,3195,2175,0,0,0,210,18,865,38155
29461,ZCTA5 29461,18501,38.4,37133,9882,158,54,1063,1086,305,848,58946
29464,ZCTA5 29464,24486,41.4,51379,3962,710,45,1551,352,304,1485,86446
29470,ZCTA5 29470,2438,42.7,4900,1207,0,0,359,160,92,831,53583
29474,ZCTA5 29474,1001,44.5,2136,443,0,0,239,127,35,679,35417
29203,ZCTA5 29203,18614,34.6,39518,32283,528,11,1254,416,236,840,30830
29209,ZCTA5 29209,16615,36.8,33590,15605,653,113,1564,345,117,956,53319
29302,ZCTA5 29302,8448,43.6,16958,3045,693,10,452,243,129,843,58058
29571,ZCTA5 29571,6612,40.7,14140,8799,173,0,56,392,108,580,32764
29307,ZCTA5 29307,8344,44.2,18121,3819,169,11,693,192,73,795,46404
29316,ZCTA5 29316,12514,35.8,26719,3792,847,23,1020,269,147,832,58903
29570,ZCTA5 29570,1617,43.8,3402,910,14,0,11,85,0,453,26981
29577,ZCTA5 29577,15179,42.3,31816,4623,627,23,4688,161,142,898,40416
29580,ZCTA5 29580,641,48.4,1336,1115,53,0,0,65,9,758,30179
29593,ZCTA5 29593,765,45.1,1669,865,0,0,15,25,11,668,25469
29617,ZCTA5 29617,13585,37.8,28362,4163,407,13,6448,208,325,743,37907
29621,ZCTA5 29621,19267,44,40931,7138,901,0,1288,329,207,865,56887
29626,ZCTA5 29626,6050,42,12570,2851,0,12,568,219,37,788,45272
29631,ZCTA5 29631,8258,23.8,15176,742,1172,0,376,192,110,982,42886
29644,ZCTA5 29644,10422,37.9,21182,4539,185,33,1131,210,32,808,60683
29658,ZCTA5 29658,233,45.3,491,7,0,0,3,29,15,NA,48250
29690,ZCTA5 29690,11419,38.3,23217,2043,81,16,955,297,215,694,54071
29692,ZCTA5 29692,2361,40.5,4711,929,11,0,70,165,47,674,38237
29696,ZCTA5 29696,2624,40.4,5386,121,26,0,347,135,29,894,53537
29727,ZCTA5 29727,745,44,1441,569,2,0,42,58,16,578,41838
29810,ZCTA5 29810,1935,39.6,4224,3622,6,0,49,124,42,604,22096
29840,ZCTA5 29840,173,63.1,323,308,0,0,0,20,0,NA,16382
29848,ZCTA5 29848,384,50,631,82,0,0,0,24,11,420,45179
29939,ZCTA5 29939,236,41.9,383,286,0,0,0,28,24,NA,26875
29046,ZCTA5 29046,41,62.1,143,143,0,0,0,0,0,NA,31429
29101,ZCTA5 29101,1350,43.5,2889,1129,0,0,126,35,17,672,33878
29168,ZCTA5 29168,1930,33.2,3973,2364,31,0,17,82,38,755,34226
29940,ZCTA5 29940,1836,43.1,4046,2331,15,0,158,188,24,647,39194
29137,ZCTA5 29137,976,47.6,1849,804,20,0,2,125,28,565,39777
29153,ZCTA5 29153,7206,40.8,14934,8321,49,38,425,551,163,841,43095
29162,ZCTA5 29162,1402,41.1,3046,839,0,0,185,57,12,548,40625
29169,ZCTA5 29169,11786,39.7,24170,4726,394,51,3835,116,190,864,43085
29202,ZCTA5 29202,149,30,274,9,65,0,12,0,15,1521,74602
29148,ZCTA5 29148,3095,52.6,6910,3521,4,0,49,161,119,511,34049
29320,ZCTA5 29320,476,31.6,1017,0,0,0,602,0,42,NA,NA
29453,ZCTA5 29453,542,37.5,1136,406,0,0,74,91,14,798,34167
29581,ZCTA5 29581,2312,41.3,5189,1383,0,0,352,437,42,538,35175
29657,ZCTA5 29657,7937,39.5,15869,1081,46,0,368,292,50,779,48724
29569,ZCTA5 29569,8368,40.3,17587,5673,37,0,397,98,44,765,34656
29607,ZCTA5 29607,19038,34.8,40940,11501,1991,22,2167,294,395,993,57536
29741,ZCTA5 29741,1084,48.1,2239,396,0,26,23,23,2,658,42043
29902,ZCTA5 29902,7898,37.7,15826,3343,267,4,1206,286,81,987,52813
29944,ZCTA5 29944,1946,40.2,3985,1922,27,0,56,115,35,549,32143
29945,ZCTA5 29945,2181,43.4,5232,4183,6,0,33,211,197,692,34685
29712,ZCTA5 29712,1187,43,2199,397,0,0,71,48,0,927,54878
29520,ZCTA5 29520,6359,44.2,13892,6985,166,0,157,173,50,581,39784
29642,ZCTA5 29642,16074,40.7,32358,1746,565,52,915,441,265,842,66813
29667,ZCTA5 29667,132,41.6,263,25,3,0,0,4,0,870,46250
29689,ZCTA5 29689,1810,48.2,3934,82,0,0,0,133,76,768,49821
29080,ZCTA5 29080,1330,43.1,2859,2132,0,0,94,56,17,487,32857
29146,ZCTA5 29146,780,44,1694,1047,0,0,15,139,1,663,32188
29045,ZCTA5 29045,12834,37.2,25814,6612,951,9,1702,439,188,1070,63179
29118,ZCTA5 29118,8270,38.3,17232,10449,531,83,731,820,96,708,47458
29372,ZCTA5 29372,2157,40.2,4164,821,0,0,209,51,60,648,44000
29492,ZCTA5 29492,6179,37.8,13202,1343,136,0,667,84,129,1607,102106
29020,ZCTA5 29020,9910,47.3,21408,7402,0,0,800,350,138,696,41215
29044,ZCTA5 29044,2568,36.7,5852,3984,9,0,131,211,46,613,40593
29036,ZCTA5 29036,10937,45.4,21766,766,216,0,838,494,306,1241,84514
29037,ZCTA5 29037,269,51.7,614,166,0,0,29,5,47,NA,25125
29039,ZCTA5 29039,1660,43.1,3715,1825,0,0,79,62,1,803,42292
29040,ZCTA5 29040,5414,31.4,10616,4046,239,5,520,97,70,715,49167
29042,ZCTA5 29042,2632,35.1,5076,4198,9,0,30,34,102,696,26054
29208,ZCTA5 29208,297,19.4,760,197,52,0,48,0,0,NA,NA
29126,ZCTA5 29126,1076,47.6,2035,530,0,0,9,81,24,689,55784
29117,ZCTA5 29117,561,20.3,1056,917,7,0,11,17,0,NA,NA
29147,ZCTA5 29147,0,NA,0,0,0,0,0,0,0,NA,NA
29225,ZCTA5 29225,210,18.9,1308,148,36,0,47,0,0,NA,NA
29324,ZCTA5 29324,270,37.9,336,0,0,0,0,0,0,NA,24167
29329,ZCTA5 29329,150,21.8,247,0,0,0,0,0,0,1577,NA
29331,ZCTA5 29331,107,21.7,194,0,0,0,0,0,0,NA,NA
29333,ZCTA5 29333,327,41.6,581,62,0,0,76,0,0,752,61429
29346,ZCTA5 29346,113,38.4,293,0,0,0,0,0,0,678,49250
29368,ZCTA5 29368,46,NA,96,0,0,0,0,0,0,NA,NA
29378,ZCTA5 29378,74,10.9,175,25,0,0,133,0,0,683,NA
29409,ZCTA5 29409,2459,20.3,2666,247,101,0,123,0,0,NA,NA
29410,ZCTA5 29410,11770,34,22836,3786,1090,0,2159,225,96,1042,65329
29424,ZCTA5 29424,222,19.6,390,78,4,0,23,0,0,NA,NA
29588,ZCTA5 29588,22518,41.8,45385,3659,626,0,4535,210,314,931,49432
29613,ZCTA5 29613,817,19.9,1917,187,85,7,84,3,0,NA,NA
29614,ZCTA5 29614,889,20.8,2128,149,99,18,151,0,12,482,20000
29634,ZCTA5 29634,2250,19.3,5129,511,144,0,143,0,0,808,NA
29707,ZCTA5 29707,13984,43.9,28866,1555,570,0,2181,569,261,1350,81228
29733,ZCTA5 29733,452,19.4,1852,467,34,0,86,0,11,NA,NA
29899,ZCTA5 29899,1120,41.9,1120,731,0,0,16,0,0,NA,NA
29904,ZCTA5 29904,634,21.1,712,90,17,6,187,0,6,NA,NA
29905,ZCTA5 29905,2532,20.4,3083,297,56,44,543,0,26,2136,78750
29907,ZCTA5 29907,7732,37.9,14801,2468,224,0,1241,323,185,1255,67679
29909,ZCTA5 29909,8382,69.1,18829,338,386,42,512,50,56,1558,68351
29912,ZCTA5 29912,0,NA,0,0,0,0,0,0,0,NA,NA
29915,ZCTA5 29915,223,68.1,445,0,0,0,7,0,0,NA,140865
29817,ZCTA5 29817,1943,41.2,4420,2792,0,0,145,185,129,565,31829
29321,ZCTA5 29321,1248,41.4,3194,535,0,0,30,36,81,780,44029
29014,ZCTA5 29014,872,45.5,1763,696,14,0,0,82,38,443,54128
29038,ZCTA5 29038,999,43.8,2169,394,0,0,256,108,46,714,33690
29053,ZCTA5 29053,8452,36.9,17852,3665,64,0,1390,262,185,864,41847
29055,ZCTA5 29055,1803,41.6,4037,1240,0,0,17,75,21,700,28886
29072,ZCTA5 29072,30501,37.9,60081,3621,1525,142,2816,1137,448,1070,81286
29074,ZCTA5 29074,70,65,112,0,0,0,0,0,12,NA,49643
29114,ZCTA5 29114,855,44.7,1763,792,0,0,10,20,35,800,40130
29123,ZCTA5 29123,4453,34.6,8525,690,76,0,690,258,47,760,43977
29178,ZCTA5 29178,1624,43.7,3211,740,14,9,11,90,74,641,37258
29223,ZCTA5 29223,22801,36.2,50870,28675,2764,15,3991,882,487,976,50665
29306,ZCTA5 29306,7361,35.5,16085,9561,111,0,498,107,24,725,31125
29322,ZCTA5 29322,4277,45.9,8281,180,133,0,212,33,53,810,58225
29376,ZCTA5 29376,3738,39.9,7842,1292,56,0,392,85,88,813,63750
29403,ZCTA5 29403,10444,28.6,21888,9695,229,0,463,160,154,1220,42076
29406,ZCTA5 29406,16602,29.8,33984,15204,405,0,6464,467,67,954,35173
29414,ZCTA5 29414,19225,38.5,39520,6582,969,0,1545,587,327,1205,70762
29471,ZCTA5 29471,640,48.2,1455,563,1,0,47,23,0,696,44196
29527,ZCTA5 29527,12367,40.6,25916,7465,269,0,1276,349,104,762,40409
29530,ZCTA5 29530,1145,37.1,2325,174,0,0,103,16,0,491,43750
29850,ZCTA5 29850,0,33.2,200,0,0,0,0,0,0,NA,23359
29856,ZCTA5 29856,1234,40,2688,369,0,0,119,1,0,648,41500
29906,ZCTA5 29906,12078,27.3,25149,10010,191,0,2425,445,225,1022,47391
29916,ZCTA5 29916,775,42.8,1537,484,0,0,0,40,5,NA,55227
29928,ZCTA5 29928,7751,61.9,16366,471,198,6,774,124,46,1227,77725
29929,ZCTA5 29929,492,47.4,1002,388,4,0,0,62,87,630,40385
29160,ZCTA5 29160,4001,45.4,7833,1586,22,0,218,204,176,741,39719
29070,ZCTA5 29070,7604,41.5,15914,1334,47,29,911,482,132,657,54867
29113,ZCTA5 29113,735,48.6,1211,634,0,0,0,52,7,586,44318
29133,ZCTA5 29133,478,39.9,919,630,0,0,0,42,9,575,37120
29335,ZCTA5 29335,3595,37,5939,1071,0,0,222,79,79,820,34316
29164,ZCTA5 29164,2683,36.8,5190,1819,4,0,18,413,105,675,41626
29205,ZCTA5 29205,12287,29.7,24756,5510,738,0,943,247,105,858,51631
29301,ZCTA5 29301,17757,34.9,35704,13206,1344,0,4994,328,229,821,42796
29360,ZCTA5 29360,10087,42.3,20651,6500,98,0,1334,241,66,689,38770
29431,ZCTA5 29431,3597,42.9,6947,655,141,0,27,320,91,836,53310
29451,ZCTA5 29451,2156,56.7,4430,11,64,0,221,36,47,1976,111372
29493,ZCTA5 29493,87,43.6,164,87,0,0,0,0,5,NA,56250
29505,ZCTA5 29505,11252,40.2,24850,9001,556,0,903,247,173,865,53447
29543,ZCTA5 29543,269,55.8,582,191,0,0,0,9,0,NA,NA
29563,ZCTA5 29563,1018,54.8,2192,612,0,0,0,39,42,492,28824
29564,ZCTA5 29564,323,43.3,765,667,0,0,0,61,1,676,22467
29624,ZCTA5 29624,7549,39.3,16094,6586,41,0,494,279,78,637,24583
29627,ZCTA5 29627,9457,39.7,19301,2668,26,0,558,389,16,651,42661
29650,ZCTA5 29650,17246,39.8,34886,2700,2277,0,3632,284,226,1039,74597
29653,ZCTA5 29653,2268,42,4682,1451,22,0,165,27,65,638,45581
29655,ZCTA5 29655,3338,45.7,6915,904,0,0,111,123,14,588,37523
29684,ZCTA5 29684,1830,39.2,3915,289,0,0,6,77,43,671,44182
29702,ZCTA5 29702,4783,39.6,9978,1081,7,11,238,52,59,656,29944
29590,ZCTA5 29590,2244,38.7,3288,2366,0,0,431,77,13,647,30409
29560,ZCTA5 29560,6075,35.9,13292,7742,218,0,583,293,266,653,38335
29567,ZCTA5 29567,210,33,534,216,0,0,16,4,27,631,26367
29574,ZCTA5 29574,5346,40.4,11446,5910,52,0,361,245,436,450,32394
29582,ZCTA5 29582,8140,57.7,16548,1160,342,0,632,176,127,1016,56138
29625,ZCTA5 29625,13499,39.7,28813,4822,0,5,1573,255,294,803,47198
29635,ZCTA5 29635,616,59.6,1225,25,10,0,5,42,13,575,49500
29683,ZCTA5 29683,116,40.6,205,0,0,0,0,0,0,NA,43000
29686,ZCTA5 29686,502,45.7,935,16,0,0,11,28,56,561,NA
29697,ZCTA5 29697,6650,39,13430,1212,236,0,524,61,25,737,44767
29001,ZCTA5 29001,884,43.9,2029,937,0,0,111,39,79,488,38830
29481,ZCTA5 29481,701,46.8,1603,889,0,0,48,69,41,681,34667
29512,ZCTA5 29512,9863,39.2,18182,10581,35,0,698,289,192,555,33840
29550,ZCTA5 29550,15515,41,31952,9897,197,0,726,382,343,651,42243
29579,ZCTA5 29579,19514,38.8,40272,3638,765,0,1972,160,274,1091,56339
29584,ZCTA5 29584,1162,37.3,2365,142,0,0,18,30,36,707,37452
29591,ZCTA5 29591,2721,41.5,5350,1546,0,0,29,22,129,615,36953
29532,ZCTA5 29532,9884,41,20775,10348,59,0,359,205,147,666,31921
29540,ZCTA5 29540,2692,39.9,5383,3156,0,9,118,47,50,663,30580
29545,ZCTA5 29545,693,39.2,1444,346,0,0,55,24,0,656,29571
29546,ZCTA5 29546,1357,45.6,2965,1600,0,0,323,211,60,550,35022
29554,ZCTA5 29554,3990,43.1,8582,4702,11,0,15,407,71,654,36144
29555,ZCTA5 29555,2682,38.4,5824,1750,25,0,82,155,37,563,44118
29556,ZCTA5 29556,5212,39.4,12089,9090,81,0,191,353,321,578,30625
29566,ZCTA5 29566,8505,53.7,17603,2003,476,0,1024,149,152,837,49477
29572,ZCTA5 29572,4588,55.6,9395,680,23,0,312,77,47,874,52283
29576,ZCTA5 29576,14429,59.1,31037,1509,300,28,448,246,248,1134,56060
29583,ZCTA5 29583,2445,43.6,4985,1874,0,0,54,208,88,627,39003
29596,ZCTA5 29596,1190,47.1,2170,506,20,0,93,71,40,721,42661
29605,ZCTA5 29605,17374,36,37130,14912,194,0,3206,331,160,821,48235
29609,ZCTA5 29609,14252,37.4,29191,4945,594,104,2815,237,97,770,48079
29611,ZCTA5 29611,14457,36,30274,9265,148,0,5973,318,287,763,33570
29628,ZCTA5 29628,1145,37.7,2505,961,0,0,23,63,11,620,25975
29645,ZCTA5 29645,4560,39.8,9643,1810,0,1,431,186,81,759,47559
29659,ZCTA5 29659,34,47.9,89,37,0,0,0,0,4,753,25729
29665,ZCTA5 29665,64,35.6,140,0,0,0,68,0,0,NA,37159
29672,ZCTA5 29672,6222,53.4,12153,744,125,0,370,354,63,809,58833
29685,ZCTA5 29685,897,54.8,1704,79,10,0,0,70,50,NA,66115
29691,ZCTA5 29691,5153,40.5,11113,538,135,0,1614,199,210,630,34859
29704,ZCTA5 29704,1877,46.6,3693,200,0,0,81,84,39,719,53462
29849,ZCTA5 29849,196,23.5,518,221,0,0,0,15,22,523,38636
29743,ZCTA5 29743,432,41,861,0,0,0,23,45,0,629,40096
29829,ZCTA5 29829,5777,35.2,11879,2991,68,0,845,196,156,775,53899
29847,ZCTA5 29847,3089,36,5506,2565,0,0,324,83,19,761,44471
29851,ZCTA5 29851,3600,39.3,7328,955,47,0,260,16,39,747,43780
29910,ZCTA5 29910,20446,39.4,41018,2575,593,4,8652,462,311,1320,70414
29923,ZCTA5 29923,182,42.2,377,312,0,0,0,24,37,692,19583
29941,ZCTA5 29941,241,55,587,333,0,0,0,14,0,365,22163
29935,ZCTA5 29935,2039,35.2,3928,855,213,0,359,201,12,1106,40998
29936,ZCTA5 29936,6791,39,13666,6558,38,0,840,317,82,835,40478
29075,ZCTA5 29075,1608,36.9,3028,639,0,0,417,66,0,663,68482
29081,ZCTA5 29081,571,46.8,1317,453,5,0,93,33,9,710,50337
29111,ZCTA5 29111,898,41.2,1663,689,0,0,44,23,24,532,42045
29122,ZCTA5 29122,15,63.5,40,16,0,0,0,0,0,NA,58281
29142,ZCTA5 29142,2423,43.3,5187,3391,12,0,11,103,12,692,33780
29152,ZCTA5 29152,945,22.6,1827,261,30,0,141,17,0,1142,26798
29161,ZCTA5 29161,5246,39.7,11261,5175,35,0,471,220,61,734,40383
29166,ZCTA5 29166,444,49.5,849,207,0,0,17,65,10,1025,53661
29170,ZCTA5 29170,10358,37.4,21555,2915,445,0,1061,213,122,911,58086
29206,ZCTA5 29206,9370,39.5,19182,3131,324,85,1085,143,140,1031,74112
29229,ZCTA5 29229,22903,34.1,50866,28285,2280,189,3308,936,409,1217,70490
29323,ZCTA5 29323,5980,43.7,12489,1291,182,0,361,229,50,693,44672
29330,ZCTA5 29330,4310,40.6,8987,516,169,0,463,35,22,687,45274
29341,ZCTA5 29341,10093,37.2,20482,5410,145,14,1090,277,55,722,41454
29351,ZCTA5 29351,709,47.8,1329,95,0,12,10,0,0,438,41862
29355,ZCTA5 29355,449,44.4,928,101,13,0,0,8,8,NA,30395
29356,ZCTA5 29356,4208,50.4,8459,475,33,4,322,184,103,679,51747
29379,ZCTA5 29379,8512,43.6,17485,6130,3,0,343,480,281,640,38370
29670,ZCTA5 29670,4982,37.4,9297,1874,202,34,296,0,94,678,48169
29680,ZCTA5 29680,15661,37.8,32031,6161,419,7,2336,444,158,1077,71741
29681,ZCTA5 29681,28598,38.9,57959,6962,1815,0,3705,233,288,1057,82721
